Institute,Academic Program Name,Quota,Seat Type,Gender,OR1,CR1,OR2,CR2,OR3,CR3,OR4,CR4,OR5,CR5,OR6,CR6
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1377,28403,1114,3009,14003,15431,10988,11230,78964,83618,3033,4308
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,505,1026,3701,3750,5091,8382,4435,6481,81331,81331,72488,87934
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,4632,5058,20317,29739,7946,8983,93133,155861,19040,23481,76430,76430
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,175,175,28113,31013,3205,4321,100501,100501,24353,24353,16693,19603
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,7787,11742,2727,2727,4469,4469,26913,28436,7432,7714,31349,48037
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,464,901,4643,4968,53772,72777,63466,78497,37130,46034,59939,59939
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1179,6840,5620,6133,65925,65925,72806,72806,46106,46106,11525,13073
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1752,2967,10007,12659,12473,12933,19040,22793,1576,1576,18746,18746
Indian Institute of Information Technology(IIIT) Dharwad,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,28487,31325,13851,15700,22504,24025,22973,22973,7423,7926,5923,6172
Indian Institute of Information Technology(IIIT) Dharwad,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1550,1550,3599,8166,24880,24880,6834,7402,16179,17633,54479,58639
Indian Institute of Information Technology(IIIT) Dharwad,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,5032,5276,8024,8983,10988,11230,37130,45898,15597,15597,51859,51859
Indian Institute of Information Technology(IIIT) Dharwad,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,10380,12388,3514,4004,4435,6268,46106,46106,6897,9598,9641,10051
Indian Institute of Information Technology(IIIT) Dharwad,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,954,954,4311,4381,93133,147539,1576,1576,3033,4179,18828,19932
Indian Institute of Information Technology(IIIT) Dharwad,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2865,7333,22126,33314,100501,100501,7423,7926,69841,87398,19524,19524
Indian Institute of Information Technology(IIIT) Dharwad,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,2074,3189,31873,38918,24439,25652,16179,17468,76430,76430,10453,10893
Indian Institute of Information Technology(IIIT) Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,23258,33435,1473,1473,55627,71744,15597,15597,16693,19603,4520,4636
Indian Institute of Information Technology(IIIT) Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1703,1837,5231,5541,69193,69193,6897,9598,31349,48037,90075,102401
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5412,5690,6714,6714,13073,20750,3033,4179,59939,59939,94373,94373
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,287,287,10387,13056,22312,22312,69841,86795,10072,12855,22690,24398
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,11165,13167,15102,17273,6834,7339,76430,76430,18746,18746,41134,58446
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,930,930,873,873,37130,45898,16693,18728,4308,6157,61742,61742
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,7082,7720,3983,7637,46106,46106,31349,48037,47070,55828,12613,16449
Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,575,3393,8440,8853,1576,1576,59939,59939,51859,51859,23543,23543
